index,x,y
20,0.6688963210702341,1.975995843399168
21,0.7023411371237458,1.2415382889538056
48,1.6053511705685617,0.017725410736841
50,1.6722408026755853,0.1265756353214483
54,1.806020066889632,0.7112098832010096
58,1.9397993311036787,0.7529540532240928
71,2.374581939799331,1.430400888694506
87,2.9096989966555182,-0.6237086469614339
99,3.311036789297659,-0.7853535507294618
102,3.411371237458194,-0.5978210769202252
106,3.5451505016722407,1.011298450059138
121,4.046822742474916,0.0082761262619676
130,4.3478260869565215,-0.4988584306004218
149,4.983277591973244,1.754287926540261
151,5.050167224080267,1.8251198332738587
160,5.351170568561873,0.7357288134467737
169,5.652173913043478,-0.1305697043459508
174,5.8193979933110365,0.1189570691812039
187,6.254180602006689,0.5095051179315002
188,6.2876254180602,0.2272018231871933
189,6.321070234113712,-0.0197765032910925
191,6.387959866220736,0.949383796369671
214,7.157190635451505,0.8408896238720606
235,7.85953177257525,-0.2865830387136208
252,8.42809364548495,1.7905781503647629
257,8.595317725752508,0.7540150153608982
270,9.03010033444816,0.8978464147549647
276,9.23076923076923,0.2484968700038109
298,9.966555183946488,1.3202989950798474
299,10.0,1.3204850127953265
