index,x,y,random_split,systematic_split
0,0.0,0.798685661204493,test,train
1,0.0334448160535117,0.6447029937782783,test,test
2,0.0668896321070234,1.057624022313114,test,test
3,0.1003344481605351,1.5037891805366326,test,test
4,0.1337792642140468,0.8934274783975217,test,test
5,0.1672240802675585,0.981452926480778,test,val
6,0.2006688963210702,1.7893814007390505,test,test
7,0.2341137123745819,1.5409386283784303,test,test
8,0.2675585284280936,1.1152914841806856,test,test
9,0.3010033444816053,1.581305863486618,test,test
10,0.334448160535117,1.2315130928167852,test,train
11,0.3678929765886287,1.2739845298137125,test,test
12,0.4013377926421404,1.590750723434761,test,test
13,0.4347826086956521,0.7522338720197381,test,test
14,0.4682274247491638,0.840756394605101,val,test
15,0.5016722408026756,1.3084045039798795,val,val
16,0.5351170568561873,1.120141112847813,test,test
17,0.568561872909699,1.632345716278932,test,test
18,0.6020066889632106,1.114413665605401,test,test
19,0.6354515050167224,0.8735887645071095,test,test
20,0.6688963210702341,1.975995843399168,train,train
21,0.7023411371237458,1.2415382889538056,train,test
22,0.7357859531772575,1.292520138140301,test,test
23,0.7692307692307692,0.6215862004189933,test,test
24,0.8026755852842808,0.892894703835172,test,test
25,0.8361204013377926,1.068324948648256,test,val
26,0.8695652173913043,0.472052900945791,test,test
27,0.903010033444816,0.98751926465511,test,test
28,0.9364548494983276,0.4992340271929186,test,test
29,0.9698996655518394,0.5237268234360384,test,test
30,1.0033444816053512,0.3005336853563604,test,train
31,1.0367892976588629,1.184078949981502,val,test
32,1.0702341137123743,0.3420956012841178,test,test
33,1.1036789297658862,-0.167674185765141,test,test
34,1.137123745819398,0.4971066060557668,test,test
35,1.1705685618729096,-0.4016899410946606,test,val
36,1.2040133779264213,0.0956773685662981,test,test
37,1.237458193979933,-0.8383693373004011,test,test
38,1.2709030100334449,-0.643672871627199,test,test
39,1.3043478260869563,-0.0820783207324859,test,test
40,1.3377926421404682,0.0962196084699517,val,train
41,1.37123745819398,-0.1584167111301127,test,test
42,1.4046822742474916,-0.2901555172060702,test,test
43,1.4381270903010033,-0.3702440650696273,test,test
44,1.471571906354515,-0.8360926883566597,test,test
45,1.5050167224080266,-0.5166430255624175,test,val
46,1.5384615384615383,-0.3864525905888616,test,test
47,1.57190635451505,0.2571967462871202,test,test
48,1.6053511705685617,0.017725410736841,train,test
49,1.6387959866220736,-0.7704250949635684,test,test
50,1.6722408026755853,0.1265756353214483,train,train
51,1.705685618729097,-0.0883758171302608,val,test
52,1.7391304347826086,-0.1310225133641028,test,test
53,1.7725752508361203,0.4625911052877209,test,test
54,1.806020066889632,0.7112098832010096,train,test
55,1.839464882943144,0.7534959811730884,test,val
56,1.8729096989966556,0.1272849303886885,test,test
57,1.906354515050167,0.4196020782372814,test,test
58,1.9397993311036787,0.7529540532240928,train,test
59,1.9732441471571909,1.0832247870168592,test,test
60,2.0066889632107023,0.5678955693883663,test,train
61,2.040133779264214,0.7445425020963574,test,test
62,2.0735785953177257,0.4269775999532464,test,test
63,2.1070234113712374,0.4321036505743336,test,test
64,2.140468227424749,1.2660873622859443,test,test
65,2.1739130434782608,1.5026870245171466,test,val
66,2.2073578595317724,0.9385076825640424,test,test
67,2.240802675585284,1.3634253198062791,val,test
68,2.274247491638796,1.0887194383711485,test,test
69,2.3076923076923075,0.655401983859193,test,test
70,2.341137123745819,1.0149150069770356,test,train
71,2.374581939799331,1.430400888694506,train,test
72,2.4080267558528425,0.7342155359415178,val,test
73,2.441471571906354,1.2971005539592133,test,test
74,2.474916387959866,-0.4636243827270868,test,test
75,2.508361204013378,0.817568811341175,test,val
76,2.5418060200668897,0.4209907665248772,test,test
77,2.5752508361204014,0.1582246411839791,test,test
78,2.608695652173913,0.2020517632186171,val,test
79,2.6421404682274248,-0.7446385500581648,test,test
80,2.6755852842809364,-0.153202762614087,test,train
81,2.709030100334448,-0.0372366619955331,test,test
82,2.74247491638796,0.2990386259343831,test,test
83,2.7759197324414715,-0.6070554009771205,val,test
84,2.809364548494983,-0.824733375802057,test,test
85,2.842809364548495,-0.796055524668712,test,val
86,2.8762541806020065,-0.3142325546362463,test,test
87,2.9096989966555182,-0.6237086469614339,train,test
88,2.94314381270903,-1.0306350680949523,test,test
89,2.9765886287625416,-0.6647852016581202,test,test
90,3.0100334448160533,-0.8698147192804875,test,train
91,3.043478260869565,-0.5465208249046835,test,test
92,3.0769230769230766,-1.2267434783318203,val,test
93,3.1103678929765883,-1.0756202279556426,test,test
94,3.1438127090301,-1.087049309657152,test,test
95,3.177257525083612,-1.4888514180952892,test,val
96,3.2107023411371234,-0.7466296776740171,test,test
97,3.2441471571906355,-0.7117031070648479,test,test
98,3.277591973244147,-0.7557623327120362,val,test
99,3.311036789297659,-0.7853535507294618,train,test
100,3.3444816053511706,-1.184944782425005,test,train
101,3.3779264214046822,-0.7095504191641289,test,test
102,3.411371237458194,-0.5978210769202252,train,test
103,3.4448160535117056,-0.6998062917267527,val,test
104,3.4782608695652173,-0.3620590708245653,test,test
105,3.511705685618729,0.3432017439803799,test,val
106,3.5451505016722407,1.011298450059138,train,test
107,3.5785953177257523,0.3964692409412578,val,test
108,3.612040133779264,0.4926483027178758,test,test
109,3.645484949832776,0.4148033658972261,test,test
110,3.678929765886288,-0.2770097929609192,test,train
111,3.712374581939799,0.5160105229354851,val,test
112,3.745819397993311,0.5765200674106978,test,test
113,3.7792642140468224,1.5529965995846151,val,test
114,3.812709030100334,0.4955315444913035,test,test
115,3.846153846153846,0.6877007080181341,test,val
116,3.8795986622073575,0.5382333672568919,test,test
117,3.913043478260869,0.0609780686067533,test,test
118,3.946488294314381,0.9543141160114664,test,test
119,3.979933110367893,0.7604283549621079,test,test
120,4.013377926421405,0.7337921567777923,test,train
121,4.046822742474916,0.0082761262619676,train,test
122,4.080267558528428,0.8865148034339767,test,test
123,4.113712374581939,-0.2814071160961292,test,test
124,4.147157190635451,0.470461226261239,test,test
125,4.180602006688963,1.0725874877939054,test,val
