index,x,y
0,0.0,0.798685661204493
10,0.334448160535117,1.2315130928167852
20,0.6688963210702341,1.975995843399168
30,1.0033444816053512,0.3005336853563604
40,1.3377926421404682,0.0962196084699517
50,1.6722408026755853,0.1265756353214483
60,2.0066889632107023,0.5678955693883663
70,2.341137123745819,1.0149150069770356
80,2.6755852842809364,-0.153202762614087
90,3.0100334448160533,-0.8698147192804875
100,3.3444816053511706,-1.184944782425005
110,3.678929765886288,-0.2770097929609192
120,4.013377926421405,0.7337921567777923
130,4.3478260869565215,-0.4988584306004218
140,4.682274247491638,0.9095617529411554
150,5.016722408026756,1.76963269181516
160,5.351170568561873,0.7357288134467737
170,5.68561872909699,-0.2459017250026817
180,6.020066889632107,0.4559492096332516
190,6.354515050167223,0.4209940818884946
200,6.688963210702341,0.7549144586480527
210,7.023411371237458,0.9231912139018073
220,7.357859531772575,1.895562337826264
230,7.692307692307692,-0.4405579227663658
240,8.02675585284281,-0.7157428347414845
250,8.361204013377925,0.2769819643486866
260,8.695652173913043,0.5432908123715323
270,9.03010033444816,0.8978464147549647
280,9.364548494983277,0.1645806146364911
290,9.698996655518394,0.2289269107237308
